time,open,high,low,Close,tick_volume,spread,real_volume
1609714800,12897.53,12897.53,12862.52,12874.14,877,428,0
1609718400,12874.64,12876.11,12835.25,12844.38,2084,396,0
1609722000,12844.39,12862.5,12844.39,12861.3,1955,379,0
1609725600,12861.88,12876.68,12861.8,12870.17,1481,379,0
1609729200,12870.38,12884.54,12867.02,12881.78,1079,379,0
1609732800,12882.08,12888.38,12881.79,12885.24,881,380,0
1609736400,12885.28,12886.02,12869.29,12879.33,1159,381,0
1609740000,12879.33,12905.86,12879.33,12901.64,1232,386,0
1609743600,12902.16,12943.22,12902.16,12943.22,1701,388,0
1609747200,12944.48,12963.03,12934.1,12943.34,2030,388,0
1609750800,12942.53,12970.18,12941.78,12959.31,1618,390,0
1609754400,12959.35,12963.38,12943.43,12950.49,1319,384,0
1609758000,12950.5,12959.98,12948.14,12951.55,1142,391,0
1609761600,12951.26,12963.56,12945.38,12963.17,1047,386,0
1609765200,12962.79,12964.12,12949.28,12952.71,1437,398,0
1609768800,12952.6,12954.47,12869.11,12889.95,3298,387,0
1609772400,12890.79,12900.85,12772.06,12772.06,4487,415,0
1609776000,12772.88,12792.4,12646.47,12646.93,5168,437,0
1609779600,12645.77,12660.49,12533.09,12607.4,5127,424,0
1609783200,12605.79,12687.27,12595.64,12684.46,3532,398,0
1609786800,12683.98,12686.75,12617.89,12674.74,3873,398,0
1609790400,12674.46,12717.95,12641.59,12697.66,4231,420,0
1609801200,12680.08,12692.13,12676.5,12684.94,791,416,0
1609804800,12685.08,12707.34,12681.3,12703.91,1717,384,0
1609808400,12704.12,12732.07,12703.35,12723.4,1753,379,0
1609812000,12724.1,12734.15,12719.74,12729.33,1381,378,0
1609815600,12729.3,12737.4,12688.02,12697.92,1496,375,0
1609819200,12698.19,12702.49,12672.93,12686.54,1683,400,0
1609822800,12687.23,12704.64,12684.13,12702.37,1815,389,0
1609826400,12701.7,12720.83,12701.67,12718.12,1896,398,0
1609830000,12718.02,12719.93,12651.03,12659.59,2311,398,0
